tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
LoftyTag,Lofty,Felis catus,2015-04-18 16:17:51.000,2015-04-26 00:37:44.000,Hunt: Yes; prey_p_month: 21,13 years,Neutered,m,collar,@Trip PC,removal,Lofty,3-min fixes,hrs_indoors: 3; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
ZazzieTag,Zazzie,Felis catus,2015-04-18 16:23:59.000,2015-04-26 14:45:28.000,Hunt: Yes; prey_p_month: 0,12 years,Neutered,m,collar,@Trip PC,removal,Zazzie,3-min fixes,hrs_indoors: 5; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
CrumpetTag,Crumpet,Felis catus,2015-04-18 16:25:34.000,2015-04-25 04:44:34.000,Hunt: Yes; prey_p_month: 3,4 years,Spayed,f,collar,@Trip PC,removal,Crumpet,3-min fixes,hrs_indoors: 7; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
TobyTag,Toby,Felis catus,2015-04-23 16:01:52.000,2015-05-01 06:28:53.000,Hunt: Yes; prey_p_month: 1,0 years,Neutered,m,collar,@Trip PC,removal,Toby,3-min fixes,hrs_indoors: 12; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
IsabelTag,Isabel,Felis catus,2015-04-23 16:20:45.000,2015-05-02 08:38:20.000,Hunt: Yes; prey_p_month: 1,3 years,Spayed,f,collar,@Trip PC,removal,Isabel,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
PennyTag,Penny,Felis catus,2015-04-24 16:01:57.000,2015-05-03 06:28:16.000,Hunt: Yes; prey_p_month: 2,2 years,Spayed,f,collar,@Trip PC,removal,Penny,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MistyTag,Misty,Felis catus,2015-04-24 16:02:34.000,2015-05-02 23:29:13.000,Hunt: Yes; prey_p_month: 9,10 years,Spayed,f,collar,@Trip PC,removal,Misty,3-min fixes,hrs_indoors: 1; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SookieTag,Sookie,Felis catus,2015-04-24 16:02:51.000,2015-05-04 06:28:36.000,Hunt: Yes; prey_p_month: 21,6 years,Spayed,f,collar,@Trip PC,removal,Sookie,3-min fixes,hrs_indoors: 6; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
PippinTag,Pippin,Felis catus,2015-04-24 16:02:57.000,2015-05-04 10:02:00.000,Hunt: Yes; prey_p_month: 7,5 years,Neutered,m,collar,@Trip PC,removal,Pippin,3-min fixes,hrs_indoors: 2; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SqueakTag,Squeak,Felis catus,2015-04-24 16:39:45.000,2015-04-30 00:35:51.000,Hunt: Yes; prey_p_month: 11,2 years,Spayed,f,collar,@Trip PC,removal,Squeak,3-min fixes,hrs_indoors: 14; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
