freq,unit,wat_proc,wat_src,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_M3,ABS_IND_CL,FSW,HR	3.91 e	3.20 e	3.29 e	3.24 	3.07 	2.96 	2.06 	3.11 	3.26 	5.00 	7.00 	6.60 
A,MIO_M3,ABS_IND_CL,FSW,LT	: 	: 	: 	16.03 	14.11 	10.80 	11.19 	11.44 	13.69 	16.30 	16.55 	16.25 
A,MIO_M3,ABS_IND_CL,FSW,LU	2.40 	2.70 	2.70 	0.16 	1.26 	0.50 	0.00 	0.09 	0.44 	1.87 	1.71 	1.92 
A,MIO_M3,ABS_IND_CL,FSW,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,MIO_M3,ABS_IND_CL,FSW,NL	2661.50 	2704.44 	2748.90 	2617.36 	2315.40 	2024.84 	2330.64 	2324.66 	2261.83 	2222.06 	2243.84 	: 
A,MIO_M3,ABS_IND_CL,FSW,PL	234.40 	247.80 	230.50 	237.40 	247.50 	236.40 	237.56 	236.59 	212.34 	189.20 	198.72 	197.40 
A,MIO_M3,ABS_IND_CL,FSW,RO	901.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_IND_CL,FSW,RS	68.65 	88.07 	63.28 	46.76 	40.44 	48.13 	53.56 	66.68 	21.36 	17.68 	14.07 	17.93 
A,MIO_M3,ABS_IND_CL,FSW,SE	598.00 	599.80 s	601.60 s	603.40 s	605.20 s	607.00 	609.40 s	611.80 s	614.20 s	616.60 s	619.00 	: 
A,MIO_M3,ABS_IND_CL,FSW,SK	: 	: 	: 	37.50 	35.20 	34.50 	30.60 	28.70 	31.40 	32.40 	33.50 	29.60 
A,MIO_M3,ABS_IND_CL,FSW,TR	78.00 	: 	74.58 	: 	94.07 	: 	66.85 	: 	74.33 	: 	93.53 	: 
A,MIO_M3,ABS_IND_CL,FSW,UK	242.30 	175.80 	154.60 s	133.40 s	112.20 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_PWS,FSW,AL	302.00 	291.00 	: 	: 	: 	: 	: 	283.00 e	205.60 	180.56 	156.57 	125.22 
A,MIO_M3,ABS_PWS,FSW,AT	: 	: 	: 	: 	: 	: 	0.00 e	0.00 e	0.00 e	0.00 e	0.00 e	0.00 e
A,MIO_M3,ABS_PWS,FSW,BA	58.70 	55.40 	55.30 	54.60 	49.40 	50.20 	51.51 	53.61 	54.49 	55.10 	58.98 	60.04 
A,MIO_M3,ABS_PWS,FSW,BE	263.00 s	265.42 	261.43 	263.32 	260.13 	272.96 	261.61 	279.87 	282.88 	290.12 	284.47 	: 
