freq,treespec,prod_wd,stk_flow,unit,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CONIF,PN_PY,EXP,THS_M3,UK	: 	: 	: 	0 p	0.42 p	6.51 p	12.6 	18.15 	18.92 	24.77 	37.64 	41.44 	51.55 	58 	50.65 	33.2 	25.08 	26 	28.59 	32.04 	19.3 	16.93 	22.91 	13.84 	18 	18.96 	22.38 	18.77 	19.6 	9.84 	: 
A,CONIF,PN_PY,EXP,THS_NAC,AT	: 	: 	: 	: 	69242.24 e	79822.24 e	82191.46 	82574.72 	99981 	113342 	107273 	107787 	115525 	118211 	128721 	77989 	61520 	54966 	137348 	163538 	160699 	167215 	176429 	153425 	173551 	: 	: 	: 	: 	: 	252322 p
A,CONIF,PN_PY,EXP,THS_NAC,BE	: 	: 	: 	: 	: 	: 	: 	: 	30083 	26194.85 	26656.7 	32394.52 	44016.96 	52642 	52416 e	35200 	45300 	34951.16 	72398.23 	66223.71 	71426.62 	73005.39 	30419.92 	32108.17 	27585.82 	38289.95 	50728.27 	51584.18 	47539.69 	71453.94 	80622.17 
A,CONIF,PN_PY,EXP,THS_NAC,BG	: 	: 	: 	: 	597.6 e	5577.6 e	5843.2 e	: 	25007.5 	: 	: 	15552.7 e	14136.78 e	14147.56 e	14578 	2318.33 	2991.96 	10924.63 	2911.85 	4700.57 	3677.46 	5140.97 	7621.28 	7833.89 	8133.71 	3088.5 	1452.1 	760.34 	720.28 	4140.84 	16947.22 
A,CONIF,PN_PY,EXP,THS_NAC,CH	: 	: 	: 	: 	6929.07 e	7372.65 e	7365.03 e	0 	1258.75 	1090.6 	1114.92 	912.6 	1543.8 	1200.24 	2400.31 	3200 	5300 	100 	100 	100 	100 	100 	2800 	3200 	3900 	3300 	2200 	2300 	1900 	3700 	3700 e
A,CONIF,PN_PY,EXP,THS_NAC,CY	: 	: 	: 	: 	3.21 e	3.49 e	3.55 e	3.69 e	0.12 	0 	2.37 	18.79 	57.89 	30.4 	54.33 	13.52 	26.93 	30.47 	0 	0 	0 	5.17 	0 	0 	0 	0 	0 	73.33 	17.15 	21.09 	0 
A,CONIF,PN_PY,EXP,THS_NAC,CZ	: 	: 	: 	: 	921918.66 e	634000 e	604410.72 	531015.94 	613031.69 	684090.06 	608018.47 	661000 	767000 	753000 	897153 	910385 	340500 	534363 	183826 	957889 	834687 	1090171 	1388136 	1224984 	1430168 	1284467 	1494646 	1573844 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_NAC,DE	: 	: 	: 	: 	76642.23 e	76071.21 e	102288.36 e	102818.75 e	52870.04 e	55950.4 e	52811 e	59986.72 e	78644.55 e	80968.87 e	95052 	71707.07 	60452.82 	44242 	76572 	73891 	54881 	54301 	59670 	62309 	61334 	71025 	74347.5 	72489 	77686.5 	114471.5 	125214 
A,CONIF,PN_PY,EXP,THS_NAC,DK	: 	: 	: 	: 	77174.5 e	101048.24 e	66998.32 	73006.49 	99000 	113000 	119261.74 	132029.86 	177420.64 	126737.95 	96773.69 	67234.21 	85807.44 	94786.7 e	57771.16 e	57268.24 	64843.49 	24154.65 	9369.52 	23332.35 	23508.93 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_NAC,EE	: 	: 	: 	: 	5689.54 e	6322.32 e	6425.57 	6073.87 	6114.85 	5924.08 	5012.21 	5357.58 	3286.34 	3973.58 	3082.2 	4212.5 	2115.74 	1155.25 	8236 	3485.97 	2905.4 	3947.45 	2440.2 	3094.58 	3913.76 	2931.32 	3563.55 	5078.14 	6002.91 	7642.88 	8986.01 
A,CONIF,PN_PY,EXP,THS_NAC,EL	: 	: 	: 	: 	7346.75 e	8333.98 e	20.75 	22.42 	208.32 	327.75 	78.38 	378.05 	779.6 	854.39 	899.92 	1434.4 	206.12 	198.19 	353.62 	523.11 	393.34 	544.93 	578.36 	718.48 	718.48 p	718.48 p	: 	231.97 	204.08 	: 	: 
A,CONIF,PN_PY,EXP,THS_NAC,ES	: 	: 	: 	: 	45940.91 e	47793.59 e	34417.61 	32233.81 	31181 	30034 	32282 	33850 	44410 	47395 	63590 	90304.06 	80736.1 	67704.74 	87840.99 	110392.07 	97484.01 	64231.75 	50600.52 	60817.46 	40930.53 	38405.88 	35130.5 	40623.16 	34433.22 	42228.59 	55436.17 
A,CONIF,PN_PY,EXP,THS_NAC,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3471035.99 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_NAC,FI	: 	: 	: 	: 	61033.79 e	70724 e	143047.02 	175171.43 	201208.72 	191395.2 	210909.4 	226425.4 	240651.3 	248247.9 	270324 	253531.35 	236708.81 	142818.98 	201301 	213780.86 	213087.95 	226974.3 	242220.77 	242673.34 	237268.29 	258270.15 	267585.94 	258986.66 	232676.2 	303765.84 	395667.91 p
A,CONIF,PN_PY,EXP,THS_NAC,FR	: 	: 	: 	: 	148967.31 e	165455.2 e	60557.73 	61924.3 	41712 	31133 	5081 	25944 	30050 	48494 	56362.06 	76201.9 	74778.68 	30692.84 	37546.52 	34132.62 p	36866.54 	41714.39 	43223.46 	47563.91 	40329.82 	49053.65 	66445.31 	92095 	88381.41 	67938.94 e	64774.29 e
A,CONIF,PN_PY,EXP,THS_NAC,HR	: 	: 	: 	: 	2666.53 e	4622.06 e	0 	0 	64.81 	24.35 	65.8 	90.7 	683.91 	1556.95 	1986.73 	2943.98 	3344.12 	3518.05 	3592.56 	3997.52 	516.42 	2647.61 	2518.04 	2568.64 	2065.7 	1382.69 	1873.06 	1235.77 	888.27 	2410 	846.82 
A,CONIF,PN_PY,EXP,THS_NAC,HU	: 	: 	: 	: 	731193.5 e	595860.1 e	446796.74 	5524598.97 	175755.81 	167000.75 	428004.56 	650000 	461000 	1682000 	1607000 	456000 	631200.06 	384627.98 	220820.47 	409809.7 	560504.56 	406965.75 	442539.43 	807462.23 	943407.19 	452220 	143224.92 	235719.59 	471290.4 	538485.76 	: 
