freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	2000 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAL,OWL,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	-2.88 	-0.61 	: 	-0.9 	: 	: 	: 	: 	: 	-1.56 	: 	: 
A,BAL,OWL,THS_HA,AT	: 	: 	2.43 	2.43 	2.43 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 	-0.58 
A,BAL,OWL,THS_HA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,BAL,OWL,THS_HA,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,BAL,OWL,THS_HA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,BAL,OWL,THS_HA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
A,BAL,OWL,THS_HA,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.45 	: 	: 	: 	-0.09 	: 	-0.43 	-1.92 	: 
A,BAL,OWL_AWS,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 
A,BAL,OWL_AWS,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,BAL,OWL_AWS,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 
A,BAL,OWL_AWS,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.02 	: 
A,BAL,OWL_AWS,THS_HA,AT	: 	: 	-0.29 	-0.29 	-0.29 	0.45 	0.45 	0.45 	0.45 	0.45 	0.45 	0.45 	0.45 	0.45 	0.45 	0.45 	0.45 	0.45 	0.45 
A,BAL,OWL_AWS,THS_HA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,BAL,OWL_AWS,THS_HA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
A,DECR,FAWS,MIO_EUR,BG	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 b	62.38 	20.45 	31.19 	26.08 	5.11 	26.08 	25.56 	: 	: 
A,DECR,FAWS,MIO_EUR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.06 	3.14 	10.34 	8.9 	-4.09 	-39.97 	-71.31 	: 	: 
A,DECR,FAWS,MIO_EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.51 e	: 	: 
A,DECR,FAWS,MIO_EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.74 	0.72 	0.41 	1.08 	0.47 	0.51 	0.27 	0.42 	: 
A,DECR,FAWS,MIO_EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	8.83 	11.01 	7.29 	5.85 	4.16 	4.16 	4.26 	3.06 	6.61 	2.74 	2.7 
A,DECR,FAWS,MIO_EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.93 	2 	0.6 	0.1 	0.19 	0.07 	0.08 	0.05 	: 
A,DECR,FAWS,MIO_NAC,BG	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 b	122 	40 	61 	51 	10 	51 	50 	: 	: 
A,DECR,FAWS,MIO_NAC,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.06 	3.14 	10.34 	8.9 	-4.09 	-39.97 	-71.31 	: 	: 
A,DECR,FAWS,MIO_NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.51 e	: 	: 
A,DECR,FAWS,MIO_NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	3 	1.8 	4.6 	2 	2.2 	1.2 	1.9 	: 
A,DECR,FAWS,MIO_NAC,SI	: 	: 	: 	: 	: 	: 	: 	: 	8.83 	11.01 	7.29 	5.85 	4.16 	4.16 	4.26 	3.06 	6.61 	2.74 	2.7 
A,DECR,FAWS,MIO_NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.93 	2 	0.6 	0.1 	0.19 	0.07 	0.08 	0.05 	: 
A,DECR,FAWS,THS_HA,AT	: 	: 	: 	: 	: 	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p	4.83 p
A,DECR,FAWS,THS_HA,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.7 	: 	0.31 	: 	: 
A,DECR,FAWS,THS_HA,BG	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 b	12 	4 	6 	5 	1 	5 	5 	0 	: 
A,DECR,FAWS,THS_HA,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
A,DECR,FAWS,THS_HA,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.14 	4.15 	5.78 	5.77 	5.77 	5.77 	5.77 	5.98 	: 
A,DECR,FAWS,THS_HA,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0.2 	0 	0 	0 	: 
A,DECR,FAWS,THS_HA,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	1 	1 	0.39 	0.39 	0.39 	0.39 	: 
A,DECR,FAWS,THS_HA,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.22 	: 	: 
A,DECR,FAWS,THS_HA,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,DECR,FAWS,THS_HA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.85 	: 	: 
A,DECR,FAWS,THS_HA,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	4 	5 	: 	6 	7 	: 	: 
A,DECR,FAWS,THS_HA,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	0.7 	0.4 	1.1 	0.5 	0.5 	0.3 	0.4 	: 
A,DECR,FAWS,THS_HA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61.38 	54.62 	54.62 	54.62 	54.62 	54.62 	54.62 	: 
A,DECR,FAWS,THS_HA,SI	: 	: 	: 	: 	: 	: 	: 	: 	4.53 	5.65 	4.68 	3.92 	2.83 	2.77 	2.58 	1.86 	3.67 	1.52 	1.29 
A,DECR,FAWS,THS_HA,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.26 	2 	0.8 	0.13 	0.25 	0.09 	0.1 	0.07 	: 
A,DECR,FNAWS,MIO_EUR,BG	: 	: 	0 	-1.53 	-2.56 	-2.05 	0 	0 	0 	0 b	20.45 	0 	0 	0 	0 	0 	0 	: 	: 
A,DECR,FNAWS,MIO_EUR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 	: 	: 
A,DECR,FNAWS,MIO_EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.36 e	: 	: 
A,DECR,FNAWS,MIO_EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
A,DECR,FNAWS,MIO_EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DECR,FNAWS,MIO_EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,DECR,FNAWS,MIO_NAC,BG	: 	: 	0 	-3 	-5 	-4 	0 	0 	0 	0 b	40 	0 	0 	0 	0 	0 	0 	: 	: 
A,DECR,FNAWS,MIO_NAC,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 	: 	: 
A,DECR,FNAWS,MIO_NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.36 e	: 	: 
A,DECR,FNAWS,MIO_NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
A,DECR,FNAWS,MIO_NAC,SI	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DECR,FNAWS,MIO_NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,DECR,FNAWS,THS_HA,AT	: 	: 	: 	: 	: 	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p	3.62 p
A,DECR,FNAWS,THS_HA,BG	: 	: 	0 	0 	0 	0 	0 	0 	0 	-1 b	4 	0 	0 	0 	0 	0 	0 	0 	: 
A,DECR,FNAWS,THS_HA,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0.1 	0.04 	0.06 	0 	0.02 	0.82 	: 
A,DECR,FNAWS,THS_HA,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,DECR,FNAWS,THS_HA,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.29 	0.29 	0.29 	0.29 	0.11 	0.11 	0.11 	0.11 	: 
A,DECR,FNAWS,THS_HA,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.08 	: 	: 
A,DECR,FNAWS,THS_HA,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,DECR,FNAWS,THS_HA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.44 	: 	: 
A,DECR,FNAWS,THS_HA,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	8 	1 	: 	3 	1 	: 	: 
A,DECR,FNAWS,THS_HA,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
A,DECR,FNAWS,THS_HA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.37 	19.38 	19.38 	19.38 	19.38 	19.38 	19.38 	: 
A,DECR,FNAWS,THS_HA,SI	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DECR,FNAWS,THS_HA,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
