Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040
4.G. Harvested wood products,WAM,Total,-185.68,-193.26,-200.84,-208.42,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,,,,
4.G. Harvested wood products,WEM,Total,-185.68,-193.26,-200.84,-208.42,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0
5. Waste,WAM,ESR,5198.8,5184.2,5169.6,5155.0,5140.4,5084.24,5028.08,4971.92,4915.76,4859.6,4803.38,4747.16,4690.94,4634.72,4578.5,4536.8,4495.1,4453.4,4411.7,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,,,,
5. Waste,WAM,Total,5198.8,5184.2,5169.6,5155.0,5140.4,5084.24,5028.08,4971.92,4915.76,4859.6,4803.38,4747.16,4690.94,4634.72,4578.5,4536.8,4495.1,4453.4,4411.7,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,,,,
5. Waste,WEM,ESR,5198.8,5184.2,5169.6,5155.0,5140.4,5084.24,5028.08,4971.92,4915.76,4859.6,4803.38,4747.16,4690.94,4634.72,4578.5,4536.8,4495.1,4453.4,4411.7,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,5140.43175002586,4859.55798376426,4578.52427177536,4369.9677414625
5. Waste,WEM,Total,5198.8,5184.2,5169.6,5155.0,5140.4,5084.24,5028.08,4971.92,4915.76,4859.6,4803.38,4747.16,4690.94,4634.72,4578.5,4536.8,4495.1,4453.4,4411.7,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,4370.0,5140.43175002586,4859.55798376426,4578.52427177536,4369.9677414625
IB.Aviation,WAM,Total,1915.84,2272.28,2628.72,2985.16,3341.6,3367.56,3393.52,3419.48,3445.44,3471.4,3496.92,3522.44,3547.96,3573.48,3599.0,3622.4,3645.8,3669.2,3692.6,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,,,,
IB.Aviation,WEM,Total,1915.84,2272.28,2628.72,2985.16,3341.6,3367.56,3393.52,3419.48,3445.44,3471.4,3496.92,3522.44,3547.96,3573.48,3599.0,3622.4,3645.8,3669.2,3692.6,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3716.0,3341.59839319216,3471.40530728856,3598.97163866667,3715.9624387716
IB.Navigation,WAM,Total,6593.3,6714.3,6835.3,6956.3,7077.3,7161.28,7245.26,7329.24,7413.22,7497.2,7585.96,7674.72,7763.48,7852.24,7941.0,8039.58,8138.16,8236.74,8335.32,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,,,,
IB.Navigation,WEM,Total,6593.3,6714.3,6835.3,6956.3,7077.3,7161.28,7245.26,7329.24,7413.22,7497.2,7585.96,7674.72,7763.48,7852.24,7941.0,8039.58,8138.16,8236.74,8335.32,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,8433.9,7077.29639724719,7497.19386095592,7940.9708221041,8433.91944994636
Total excluding LULUCF,WAM,ESR,43279.26,43202.92,43126.58,43050.24,42973.9,42503.24,42032.58,41561.92,41091.26,40620.6,40420.32,40220.04,40019.76,39819.48,39619.2,39406.36,39193.52,38980.68,38767.84,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,38555.0,,,,
Total excluding LULUCF,WAM,ETS,33398.66,31541.12,29683.58,27826.04,25968.5,24624.66,23280.82,21936.98,20593.14,19249.3,18893.98,18538.66,18183.34,17828.02,17472.7,17325.66,17178.62,17031.58,16884.54,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,16737.5,,,,
