Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1.A.5. Other,WAM,Total,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,,,,,,
1.A.5. Other,WEM,ESR,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,,,,,,
1.A.5. Other,WEM,Total,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,,,,,,
1.B. Fugitive emissions from fuels,WAM,ESR,156.66,155.02,153.38,151.74,150.1,149.12,148.14,147.16,146.18,145.2,140.2,135.2,130.2,125.2,120.2,113.16,106.12,99.08,92.04,85.0,83.68,82.36,81.04,79.72,78.4,64.08,49.76,35.44,21.12,6.8,150.109987355088,145.231397059687,120.238396962647,84.9906058027647,78.3872888262906,6.78779754409041
1.B. Fugitive emissions from fuels,WAM,ETS,1047.1,1047.1,1047.1,1047.1,1047.1,1015.0,982.9,950.8,918.7,886.6,788.64,690.68,592.72,494.76,396.8,389.46,382.12,374.78,367.44,360.1,331.98,303.86,275.74,247.62,219.5,200.22,180.94,161.66,142.38,123.1,1047.13585990323,886.629274426395,396.805992663436,360.075739738637,219.506913174468,123.126697054179
1.B. Fugitive emissions from fuels,WAM,Total,1203.76,1202.12,1200.48,1198.84,1197.2,1164.14,1131.08,1098.02,1064.96,1031.9,928.92,825.94,722.96,619.98,517.0,502.62,488.24,473.86,459.48,445.1,415.66,386.22,356.78,327.34,297.9,264.3,230.7,197.1,163.5,129.9,1197.24584725832,1031.86067148608,517.044389626083,445.066345541402,297.894202000759,129.914494598269
1.B. Fugitive emissions from fuels,WEM,ESR,156.66,155.02,153.38,151.74,150.1,150.12,150.14,150.16,150.18,150.2,148.24,146.28,144.32,142.36,140.4,159.16,177.92,196.68,215.44,234.2,233.98,233.76,233.54,233.32,233.1,219.36,205.62,191.88,178.14,164.4,150.060102143289,150.16054085378,140.350731754416,234.204610418194,233.072819960559,164.387089403028
1.B. Fugitive emissions from fuels,WEM,ETS,1047.1,1047.1,1047.1,1047.1,1047.1,1039.76,1032.42,1025.08,1017.74,1010.4,996.98,983.56,970.14,956.72,943.3,926.3,909.3,892.3,875.3,858.3,851.44,844.58,837.72,830.86,824.0,815.1,806.2,797.3,788.4,779.5,1047.13585990323,1010.40152025367,943.335811594644,858.31636231152,823.977247775394,779.517100624222
1.B. Fugitive emissions from fuels,WEM,Total,1203.76,1202.12,1200.48,1198.84,1197.2,1189.88,1182.56,1175.24,1167.92,1160.6,1145.22,1129.84,1114.46,1099.08,1083.7,1085.46,1087.22,1088.98,1090.74,1092.5,1085.42,1078.34,1071.26,1064.18,1057.1,1034.46,1011.82,989.18,966.54,943.9,1197.19596204652,1160.56206110745,1083.68654334906,1092.52097272971,1057.05006773595,943.90419002725
2. Industrial processes,WAM,ESR,2580.68,2448.66,2316.64,2184.62,2052.6,1920.48,1788.36,1656.24,1524.12,1392.0,1344.14,1296.28,1248.42,1200.56,1152.7,1129.18,1105.66,1082.14,1058.62,1035.1,1034.1,1033.1,1032.1,1031.1,1030.1,1029.72,1029.34,1028.96,1028.58,1028.2,2052.63471755236,1392.03244634977,1152.73819514893,1035.09829045828,1030.08125308761,1028.19411862351
2. Industrial processes,WAM,ETS,4137.8,4052.5,3967.2,3881.9,3796.6,3784.08,3771.56,3759.04,3746.52,3734.0,3676.48,3618.96,3561.44,3503.92,3446.4,3430.56,3414.72,3398.88,3383.04,3367.2,3344.46,3321.72,3298.98,3276.24,3253.5,3055.78,2858.06,2660.34,2462.62,2264.9,3796.63602353908,3734.01517959689,3446.40816033293,3367.24455106888,3253.53211167434,2264.86745733852
2. Industrial processes,WAM,Total,6718.5,6501.2,6283.9,6066.6,5849.3,5704.64,5559.98,5415.32,5270.66,5126.0,5020.62,4915.24,4809.86,4704.48,4599.1,4559.74,4520.38,4481.02,4441.66,4402.3,4378.56,4354.82,4331.08,4307.34,4283.6,4085.5,3887.4,3689.3,3491.2,3293.1,5849.27074109144,5126.04762594666,4599.14635548186,4402.34284152716,4283.61336476195,3293.06157596203
2. Industrial processes,WEM,ESR,2580.68,2448.66,2316.64,2184.62,2052.6,1920.48,1788.36,1656.24,1524.12,1392.0,1344.14,1296.28,1248.42,1200.56,1152.7,1129.18,1105.66,1082.14,1058.62,1035.1,1034.1,1033.1,1032.1,1031.1,1030.1,1029.72,1029.34,1028.96,1028.58,1028.2,2052.63471755236,1392.03244634977,1152.73819514893,1035.09829045828,1030.08125308761,1028.19428710567
2. Industrial processes,WEM,ETS,4137.8,4052.5,3967.2,3881.9,3796.6,3784.08,3771.56,3759.04,3746.52,3734.0,3676.48,3618.96,3561.44,3503.92,3446.4,3430.56,3414.72,3398.88,3383.04,3367.2,3344.46,3321.72,3298.98,3276.24,3253.5,3228.32,3203.14,3177.96,3152.78,3127.6,3796.63602353908,3734.01517959689,3446.40816033293,3367.24455106888,3253.53211167434,3127.64375684872
2. Industrial processes,WEM,Total,6718.5,6501.2,6283.9,6066.6,5849.3,5704.64,5559.98,5415.32,5270.66,5126.0,5020.62,4915.24,4809.86,4704.48,4599.1,4559.74,4520.38,4481.02,4441.66,4402.3,4378.56,4354.82,4331.08,4307.34,4283.6,4258.04,4232.48,4206.92,4181.36,4155.8,5849.27074109144,5126.04762594666,4599.14635548186,4402.34284152716,4283.61336476195,4155.83804395439
3. Agriculture,WAM,ESR,7039.32,6999.64,6959.96,6920.28,6880.6,6840.9,6801.2,6761.5,6721.8,6682.1,6673.72,6665.34,6656.96,6648.58,6640.2,6631.8,6623.4,6615.0,6606.6,6598.2,6585.18,6572.16,6559.14,6546.12,6533.1,6520.06,6507.02,6493.98,6480.94,6467.9,6880.57700824535,6682.14730778393,6640.19568384459,6598.24405990528,6533.07258726556,6467.90111462584
3. Agriculture,WAM,Total,7039.32,6999.64,6959.96,6920.28,6880.6,6840.9,6801.2,6761.5,6721.8,6682.1,6673.72,6665.34,6656.96,6648.58,6640.2,6631.8,6623.4,6615.0,6606.6,6598.2,6585.18,6572.16,6559.14,6546.12,6533.1,6520.06,6507.02,6493.98,6480.94,6467.9,6880.57700824535,6682.14730778393,6640.19568384459,6598.24405990528,6533.07258726556,6467.90111462584
3. Agriculture,WEM,ESR,7056.98,7034.96,7012.94,6990.92,6968.9,6946.88,6924.86,6902.84,6880.82,6858.8,6867.9,6877.0,6886.1,6895.2,6904.3,6913.42,6922.54,6931.66,6940.78,6949.9,6959.18,6968.46,6977.74,6987.02,6996.3,7005.58,7014.86,7024.14,7033.42,7042.7,6968.89419536864,6858.78168203046,6904.34204289929,6949.9024037681,6996.30622057537,7042.71003738264
