Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
4.A. Forest land,WAM,Total,-37690.24,-38539.08,-39387.92,-40236.76,-41085.6,-41377.48,-41669.36,-41961.24,-42253.12,-42545.0,-42806.62,-43068.24,-43329.86,-43591.48,-43853.1,-42493.06,-41133.02,-39772.98,-38412.94,-37052.9,-37565.02,-38077.14,-38589.26,-39101.38,-39613.5,-40125.62,-40637.74,-41149.86,-41661.98,-42174.1
4.A. Forest land,WEM,Total,-37690.24,-38539.08,-39387.92,-40236.76,-41085.6,-41377.48,-41669.36,-41961.24,-42253.12,-42545.0,-42806.62,-43068.24,-43329.86,-43591.48,-43853.1,-42493.06,-41133.02,-39772.98,-38412.94,-37052.9,-37565.02,-38077.14,-38589.26,-39101.38,-39613.5,-40125.62,-40637.74,-41149.86,-41661.98,-42174.1
4.B. Cropland,WAM,Total,1770.32,1890.84,2011.36,2131.88,2252.4,2246.84,2241.28,2235.72,2230.16,2224.6,2197.66,2170.72,2143.78,2116.84,2089.9,2062.96,2036.02,2009.08,1982.14,1955.2,1942.72,1930.24,1917.76,1905.28,1892.8,1880.32,1867.84,1855.36,1842.88,1830.4
4.B. Cropland,WEM,Total,1770.32,1890.84,2011.36,2131.88,2252.4,2246.84,2241.28,2235.72,2230.16,2224.6,2197.66,2170.72,2143.78,2116.84,2089.9,2062.96,2036.02,2009.08,1982.14,1955.2,1942.72,1930.24,1917.76,1905.28,1892.8,1880.32,1867.84,1855.36,1842.88,1830.4
4.C. Grassland,WAM,Total,124.26,139.82,155.38,170.94,186.5,189.86,193.22,196.58,199.94,203.3,206.66,210.02,213.38,216.74,220.1,223.48,226.86,230.24,233.62,237.0,240.36,243.72,247.08,250.44,253.8,257.16,260.52,263.88,267.24,270.6
4.C. Grassland,WEM,Total,124.26,139.82,155.38,170.94,186.5,189.86,193.22,196.58,199.94,203.3,206.66,210.02,213.38,216.74,220.1,223.48,226.86,230.24,233.62,237.0,240.36,243.72,247.08,250.44,253.8,257.16,260.52,263.88,267.24,270.6
4.D. Wetlands,WAM,Total,270.24,282.68,295.12,307.56,320.0,328.66,337.32,345.98,354.64,363.3,371.2,379.1,387.0,394.9,402.8,410.04,417.28,424.52,431.76,439.0,445.36,451.72,458.08,464.44,470.8,477.14,483.48,489.82,496.16,502.5
4.D. Wetlands,WEM,Total,270.24,282.68,295.12,307.56,320.0,328.66,337.32,345.98,354.64,363.3,371.2,379.1,387.0,394.9,402.8,410.04,417.28,424.52,431.76,439.0,445.36,451.72,458.08,464.44,470.8,477.14,483.48,489.82,496.16,502.5
4.E. Settlements,WAM,Total,2540.58,2584.66,2628.74,2672.82,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9
4.E. Settlements,WEM,Total,2540.58,2584.66,2628.74,2672.82,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9,2716.9
4.F. Other Land,WAM,Total,25.46,25.82,26.18,26.54,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9
4.F. Other Land,WEM,Total,25.46,25.82,26.18,26.54,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9
4.G. Harvested wood products,WAM,Total,-8379.98,-7776.86,-7173.74,-6570.62,-5967.5,-5972.44,-5977.38,-5982.32,-5987.26,-5992.2,-6069.8,-6147.4,-6225.0,-6302.6,-6380.2,-6561.66,-6743.12,-6924.58,-7106.04,-7287.5,-7413.32,-7539.14,-7664.96,-7790.78,-7916.6,-8042.42,-8168.24,-8294.06,-8419.88,-8545.7
4.G. Harvested wood products,WEM,Total,-8379.98,-7776.86,-7173.74,-6570.62,-5967.5,-5972.44,-5977.38,-5982.32,-5987.26,-5992.2,-6069.8,-6147.4,-6225.0,-6302.6,-6380.2,-6561.66,-6743.12,-6924.58,-7106.04,-7287.5,-7413.32,-7539.14,-7664.96,-7790.78,-7916.6,-8042.42,-8168.24,-8294.06,-8419.88,-8545.7
