freq,indic_sb,nace_r2,ceparema,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
A,V21110,B05,CEPA2,HU	0.0 	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: c	0.0 
A,V21110,B05,CEPA2,IT	: c	: c	: c	: c	: c	: c	: c	0.0 	0.0 	0.0 b	0.0 
A,V21110,B05,CEPA2,LT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA2,MK	: 	: 	: 	: 	: 	: 	: 	0.0 p	: 	: 	0.0 p
A,V21110,B05,CEPA2,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,B05,CEPA2,NL	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B05,CEPA2,NO	0.0 	: c	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 d	0.0 bd
A,V21110,B05,CEPA2,PL	: c	2.4 	2.9 	3.1 	3.8 d	: cd	: cd	: cd	: cd	: cd	: bcd
A,V21110,B05,CEPA2,PT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B05,CEPA2,RO	: c	: c	: c	: c	: c	0.0 	: c	0.0 	: c	: c	0.0 b
A,V21110,B05,CEPA2,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,V21110,B05,CEPA2,SE	0.0 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA2,SI	0.0 	: c	: c	0.0 	: c	: c	: c	: c	: c	: c	: c
A,V21110,B05,CEPA2,SK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B05,CEPA2,UK	: cd	: cd	: cd	: c	: c	: c	: c	: c	0.0 	0.0 	: c
A,V21110,B05,CEPA3,AT	0.0 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B05,CEPA3,BE	0.0 	0.0 	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
