freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_E,G3000,KTOE,AT	4551.472 	4553.389 	4728.817 	4379.510 	4561.275 	4728.307 	4786.540 	4655.569 	4782.016 	4687.580 	4929.800 	4275.677 
A,FC_E,G3000,KTOE,BA	: 	: 	: 	111.113 	131.814 	135.877 	148.776 	148.066 	139.983 	125.194 	157.696 	: 
A,FC_E,G3000,KTOE,BE	8672.146 	9292.407 	9798.735 	8343.383 	8945.179 	9313.038 	9461.178 	9527.365 	9461.600 	9086.819 	10151.414 	8314.453 
A,FC_E,G3000,KTOE,BG	1273.835 	1182.183 	1155.946 	1178.714 	1299.653 	1300.577 	1352.784 	1301.770 	1145.600 	1162.107 	1316.819 	1107.954 
A,FC_E,G3000,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,G3000,KTOE,CZ	5508.362 	5386.887 	5366.982 	4806.750 	5024.183 	5283.979 	5529.428 	5166.221 	5187.282 	5158.445 	5502.155 	4706.533 
A,FC_E,G3000,KTOE,DE	48190.444 	50299.832 	52845.562 	47428.560 	49302.236 	52415.565 	52772.205 	53196.069 	52364.088 	52063.999 	57149.148 	50766.772 
A,FC_E,G3000,KTOE,DK	1590.993 	1580.417 	1579.906 	1447.608 	1504.584 	1527.744 	1596.012 	1569.748 	1544.106 	1507.889 	1665.866 	1340.034 
A,FC_E,G3000,KTOE,EE	203.504 	218.143 	250.043 	223.839 	222.420 	252.429 	228.974 	253.112 	246.561 	249.087 	264.844 	178.315 
A,FC_E,G3000,KTOE,EL	1082.892 	971.402 	907.550 	834.590 	968.847 	1047.506 	846.616 	811.551 	896.491 	1097.870 	1177.282 	1182.180 
A,FC_E,G3000,KTOE,ES	14006.148 	14639.305 	14792.343 	14301.207 	12919.023 	13363.717 	13568.958 	14328.912 	14455.847 	13819.041 	14937.513 	12478.510 
A,FC_E,G3000,KTOE,EU27_2020	200008.441 	204927.961 	209709.496 	186291.951 	192383.414 	200186.346 	201750.410 	201760.556 	199197.666 	194162.019 	212917.130 	185023.726 
A,FC_E,G3000,KTOE,FI	750.305 	701.888 	704.420 	670.771 	616.101 	602.436 	656.085 	628.288 	709.595 	702.909 	773.015 	610.496 
A,FC_E,G3000,KTOE,FR	30092.411 	32011.205 	33257.997 	27929.303 	28656.901 	30062.308 	29262.621 	28780.164 	28263.237 	26468.555 	28855.805 	24688.037 
A,FC_E,G3000,KTOE,GE	: 	: 	1020.703 	1232.854 	1289.483 	1291.354 	1406.288 	1392.751 	1517.518 	1575.896 	1776.734 	: 
A,FC_E,G3000,KTOE,HR	1183.684 	1050.731 	993.272 	938.220 	977.236 	1031.003 	1081.412 	1075.985 	1094.600 	1100.120 	1163.156 	1048.174 
A,FC_E,G3000,KTOE,HU	5842.734 	5060.168 	5333.749 	5002.236 	5293.358 	5539.940 	5709.351 	5570.077 	5481.406 	5689.875 	6084.179 	5198.968 
A,FC_E,G3000,KTOE,IE	1502.720 	1621.092 	1628.083 	1615.904 	1711.458 	1790.185 	1817.524 	1957.696 	1968.477 	1953.468 	1939.818 	1800.619 
A,FC_E,G3000,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,G3000,KTOE,IT	35534.544 	35450.387 	35222.270 	30902.709 	32983.835 	33237.016 	33921.458 	33628.571 	33042.585 	31807.236 	35304.221 	31877.162 
A,FC_E,G3000,KTOE,LT	603.805 	617.992 	552.042 	522.034 	518.938 	551.268 	569.827 	596.943 	584.104 	582.797 	647.936 	585.775 
A,FC_E,G3000,KTOE,LU	600.735 	611.251 	601.281 	574.630 	602.274 	633.094 	623.545 	623.441 	623.363 	564.292 	607.539 	478.472 
A,FC_E,G3000,KTOE,LV	396.797 	402.365 	343.616 	326.655 	316.531 	321.257 	328.006 	344.481 	323.605 	322.927 	351.489 	297.519 
A,FC_E,G3000,KTOE,MD	424.914 	396.174 	351.376 	347.614 	353.697 	376.397 	385.912 	437.745 	422.848 	439.638 	532.911 	: 
A,FC_E,G3000,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,G3000,KTOE,MK	43.659 	22.592 	26.978 	33.641 	31.492 	38.049 	44.088 	43.341 	43.149 	43.894 	51.349 	: 
A,FC_E,G3000,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,G3000,KTOE,NL	18060.356 	18959.183 	19482.028 	15987.856 	16949.159 	17501.474 	17355.558 	17206.230 	16627.041 	15884.357 	17121.426 	13843.345 
A,FC_E,G3000,KTOE,NO	338.259 	410.217 	418.533 	415.956 	416.851 	411.319 	447.585 	404.523 	438.048 	376.497 	402.708 	377.420 
A,FC_E,G3000,KTOE,PL	8537.016 	8762.210 	8883.749 	8347.893 	8489.553 	9225.473 	9185.450 	9268.364 	9323.205 	9235.656 	10775.300 	9679.114 
A,FC_E,G3000,KTOE,PT	1643.766 	1614.897 	1566.681 	1547.721 	1614.736 	1635.545 	1740.837 	1803.923 	1814.878 	1692.837 	1871.611 	1696.235 
A,FC_E,G3000,KTOE,RO	6101.849 	5977.429 	5681.126 	5466.230 	5299.291 	5203.912 	5640.438 	5755.425 	5626.161 	5846.885 	6550.678 	5379.734 
A,FC_E,G3000,KTOE,RS	908.598 	918.831 	1002.128 	675.774 	743.900 	790.445 	943.221 	1037.949 	915.242 	845.900 	1092.014 	: 
A,FC_E,G3000,KTOE,SE	566.702 	594.411 	496.367 	528.654 	568.422 	460.533 	355.723 	464.954 	475.195 	471.085 	458.477 	485.877 
A,FC_E,G3000,KTOE,SI	578.095 	547.291 	540.628 	518.057 	557.954 	598.388 	610.331 	597.578 	591.747 	579.049 	616.623 	555.025 
A,FC_E,G3000,KTOE,SK	2933.126 	2821.496 	2996.303 	2468.917 	2480.267 	2559.652 	2749.549 	2648.119 	2564.876 	2427.134 	2701.016 	2448.746 
