freq,plant_tec,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PRDCAP_FF,THM,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,ES	400.000 	500.000 	500.000 	500.000 	500.000 	500.000 	500.000 	500.000 	500.000 	500.000 	500.000 	500.000 	500.000 	500.000 
A,PRDCAP_FF,THM,EU27_2020	3762.300 	3862.300 	3862.300 	3862.300 	3362.300 	3362.300 	3381.600 	3381.600 	3382.000 	3382.000 	3382.000 	3382.000 	3382.000 	3382.000 
A,PRDCAP_FF,THM,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,FR	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 	1400.000 
A,PRDCAP_FF,THM,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,PRDCAP_FF,THM,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,RO	212.300 	212.300 	212.300 	212.300 	212.300 	212.300 	231.600 	231.600 	232.000 	232.000 	232.000 	232.000 	232.000 	232.000 
A,PRDCAP_FF,THM,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,PRDCAP_FF,THM,SE	600.000 	600.000 	600.000 	600.000 	600.000 	600.000 	600.000 	600.000 	600.000 	600.000 	600.000 	600.000 	600.000 	600.000 
