freq,siec,plant_tec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,R5220P,CAP_PRD,THS_TY,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	11.000 	11.000 	150.000 	189.000 	189.000 	189.000 	150.000 	150.000 	150.000 	150.000 	157.000 	172.000 	180.000 	180.000 	180.000 	180.000 	220.000 
A,R5220P,CAP_PRD,THS_TY,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	42.370 	34.320 	29.920 	29.920 	29.920 	29.920 	29.920 	53.200 	53.200 	53.200 	79.600 	141.200 	162.800 
A,R5220P,CAP_PRD,THS_TY,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.015 	0.067 	0.073 	0.073 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,R5220P,CAP_PRD,THS_TY,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1916.890 	2257.000 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 	2212.194 
A,R5220P,CAP_PRD,THS_TY,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	30.000 	30.000 	30.000 	146.700 	150.000 	150.000 	150.000 	150.000 	140.000 	140.000 	140.000 	140.000 	140.000 	140.000 	156.000 	195.000 	195.000 	195.000 	195.000 
A,R5220P,CAP_PRD,THS_TY,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	11.000 	13.500 	13.500 	144.600 	175.321 	210.111 	173.000 	173.000 	173.000 	173.000 	173.000 	173.000 	173.000 	173.000 	173.000 	173.000 	173.000 	173.000 
A,R5220P,CAP_PRD,THS_TY,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
