freq,nace_r2,indic_pefa,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,A,NEI_EXT,TJ,SE	: 	: 	: 	: 	: 	: 	: 	: 	81941.9 	96279.7 	99054.2 	84308.4 	86289.5 	86180.1 	74615.7 	73217.1 	80077.9 	81101.6 	77665.2 	74540.1 	66419.5 	86018.3 	: 
A,A,NEI_EXT,TJ,SI	: 	: 	: 	: 	: 	: 	: 	: 	29141 	26835 	27488 	27394 	26180 	27362 	24137 	26969 	27039 	26194.7 	23410.5 	22850.1 	22750.1 	25186.1 	: 
A,A,NEI_EXT,TJ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17355 	24090 	21271 	21094 	25138 	45765 	42015 	46982 	: 
A,A,NEI_EXT,TJ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	102223.7 	71638.6 	79785.2 	87137.2 	96089.6 	: 
A,A,NETDOM_EUSE,TJ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6595.6 	: 	: 
A,A,NETDOM_EUSE,TJ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23047.5 	22193.6 	22493.6 	23041 	23291.1 	22370.9 	22201.4 	22325.4 	24401.2 	: 
A,A,NETDOM_EUSE,TJ,BE	: 	: 	: 	: 	: 	: 	: 	: 	31096.8 	33697.2 	37105.6 	31002.4 	32161.3 	33549.7 	31030.3 	34535.6 	35291.8 	35092.9 	36287.8 	37988.3 	38560.7 	42916.8 	: 
A,A,NETDOM_EUSE,TJ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12634.2 	12947.4 	12998.5 	12927.7 	13780.8 	13424.2 	13148.8 	14505.6 	: 
A,A,NETDOM_EUSE,TJ,CH	: 	: 	: 	: 	: 	: 	: 	: 	15554.9 	16735 	16091.2 	16114.9 	16392.8 	17122.5 	17387.5 	17948.3 	18489.5 	18179.5 	17487.1 	18001.4 	17751.1 	17544.9 	: 
A,A,NETDOM_EUSE,TJ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1622.9 	1775.9 	1895.9 	1962 	1914.9 	1957.6 	2023.4 	2048.3 	: 
A,A,NETDOM_EUSE,TJ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24365.8 	24265.8 	16928.5 	17133 	16608.7 	17103 	21145.4 	23513.1 	: 
A,A,NETDOM_EUSE,TJ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	304628.8 	347765.6 	240375.8 	247184.1 	249698.7 	263202.7 	267202.2 	269439.3 	226063.9 	227897.6 	234664.7 	233674.3 	: 
A,A,NETDOM_EUSE,TJ,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39932.1 	41652.8 	44805.6 	36489.4 	37137.4 	35843.9 	35727.2 	34559.2 	34129.3 	33935.5 	33404.6 	34064.8 	: 
