freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCA,ITI3	11.2 	10.6 	9.6 	15.6 
A,CVA,LCA,ITI4	7.8 	7 	6.9 	7.4 
A,CVA,LCA,LT	7.8 	7.6 	6.6 	7.9 
A,CVA,LCA,LT0	7.8 	7.6 	6.6 	7.9 
A,CVA,LCA,LT00	7.8 	7.6 	6.6 	: 
A,CVA,LCA,LT01	: 	: 	: 	14.1 
A,CVA,LCA,LT02	: 	: 	: 	9.1 
A,CVA,LCA,LU	15.7 	14.8 	14.3 	14.6 
A,CVA,LCA,LU0	15.7 	14.8 	14.3 	14.6 
A,CVA,LCA,LU00	15.7 	14.8 	14.3 	14.6 
A,CVA,LCA,LV	11 	10.2 	8.9 	7.3 
A,CVA,LCA,LV0	11 	10.2 	8.9 	7.3 
A,CVA,LCA,LV00	11 	10.2 	8.9 	7.3 
A,CVA,LCA,MT	: 	22.3 	19.8 	9.2 
A,CVA,LCA,MT0	: 	22.3 	19.8 	9.2 
A,CVA,LCA,MT00	: 	22.3 	19.8 	9.2 
A,CVA,LCA,NL	4.3 	4.2 	4.1 	3.8 
A,CVA,LCA,NL1	12.2 	11.3 	11.5 	7.7 
A,CVA,LCA,NL11	16.5 	16.2 	16.8 	12.5 
A,CVA,LCA,NL12	23.3 	21.8 	23.8 	12.7 
A,CVA,LCA,NL13	24.7 	22.2 	20.3 	15.3 
A,CVA,LCA,NL2	8.6 	8.2 	8.5 	7.4 
A,CVA,LCA,NL21	16.5 	14.9 	16.3 	12.4 
A,CVA,LCA,NL22	11.1 	10.8 	10.8 	10.5 
A,CVA,LCA,NL23	23.2 	20.7 	23.9 	14.5 
A,CVA,LCA,NL3	7.1 	7 	6.5 	5.5 
A,CVA,LCA,NL31	21.7 	21 	20.5 	13.7 
A,CVA,LCA,NL32	11.3 	11.7 	11.2 	12.4 
A,CVA,LCA,NL33	10.3 	9.4 	9.6 	6.8 
A,CVA,LCA,NL34	30.5 	33.9 	21.1 	15.6 
A,CVA,LCA,NL4	8.2 	8.4 	7.9 	9.5 
A,CVA,LCA,NL41	9.4 	10 	9.4 	12 
A,CVA,LCA,NL42	17 	15.3 	13.1 	14.8 
A,CVA,LCA,PL	3.8 	3.4 	3.2 	3.5 
A,CVA,LCA,PL1	7.8 	7.2 	6.8 	: 
A,CVA,LCA,PL11	12.5 	11.5 	10.9 	: 
A,CVA,LCA,PL12	10 	9.1 	8.7 	: 
A,CVA,LCA,PL2	8.8 	8.1 	7.3 	6.8 
A,CVA,LCA,PL21	14.1 	12.9 	11.6 	11.6 
A,CVA,LCA,PL22	11.2 	10.4 	9.5 	8.3 
A,CVA,LCA,PL3	8.4 	7.5 	7.2 	: 
A,CVA,LCA,PL31	14.4 	13.2 	12.6 	: 
A,CVA,LCA,PL32	16.4 	15 	14.4 	: 
A,CVA,LCA,PL33	20.1 	17.4 	15.8 	: 
A,CVA,LCA,PL34	17.6 	15.6 	15.2 	: 
A,CVA,LCA,PL4	9.1 	7.9 	7.5 	7.4 
A,CVA,LCA,PL41	11.7 	10 	9.7 	9.6 
A,CVA,LCA,PL42	19.2 	17 	15.7 	16.4 
