freq,nutrient,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,N,T,FRK2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77620 	76942 	69477 	58353 	72227 	: 	: 	: 	: 	: 
A,N,T,FRL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15747 	16155 	14497 	17279 	19962 	: 	: 	: 	: 	: 
A,N,T,FRM0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	866 	336 	226 	137 	504 	: 	: 	: 	: 	: 
A,N,T,HR	: 	: 	: 	: 	: 	118005 	128343 	120469 	113621 	117578 	121309 	123874 	130448 	170152 	90793 	109345 	125015 	106884 	77920 	73680 	87428 	72320 	98412 	99420 	97099 	98964 	102190 	: 
A,N,T,HU	: 	: 	: 	: 	: 	257705 	275466 	302890 	289102 	292909 	260417 	288776 	319786 	294309 	274944 	281428 	301825 	312940 	335515 	341199 	378337 	403970 	424476 	424277 	415901 	445152 	456306 	325464 
A,N,T,IE	: 	: 	: 	: 	: 	407598 	368667 	363513 	388080 	362525 	352165 	345154 	321588 	308960 	306806 	337574 	295795 	296536 	353044 	331782 	330959 	339104 	369089 	408495 	367364 	379519 	399164 	343193 
A,N,T,IS	: 	: 	: 	: 	: 	12681 	12382 	11085 	10344 	9899 	9775 	12342 	13894 	15371 	12172 	10877 	10520 	12113 	11611 	14335 	11649 	10831 	13066 	11743 	10381 	11408 	12245 	: 
A,N,T,IT	: 	: 	: 	: 	: 	599471 	598218 	596963 	595679 	594409 	593008 	591738 	590410 	588956 	587452 	586130 	584973 	583849 	582362 	581063 	579728 	578438 	577234 	575857 	574530 	573473 	572105 	: 
A,N,T,LT	: 	: 	: 	: 	: 	98000 e	102000 e	115000 e	116000 e	117000 e	119000 e	122000 e	127000 e	118300 e	134400 e	143200 e	147000 e	150000 e	155000 e	162000 e	166611 e	160237 	167149 	159433 	178603 	185779 	187506 	130709 
A,N,T,LT01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9565 	16189 	15945 	6113 
A,N,T,LT02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	169038 	169590 	171561 	124596 
A,N,T,LU	: 	: 	: 	: 	: 	17819 	15200 	15835 	12905 	16355 	14230 	14034 	13311 	13329 	13384 	13766 	14446 	13675 	13366 	12714 	13007 	13731 	13575 	13038 	13795 	13092 	13932 	8357 
A,N,T,LU00	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13675 	13366 	12714 	13007 	13731 	13575 	13038 	13795 	13092 	13932 	8357 
A,N,T,LV	: 	: 	: 	: 	: 	23000 	31600 	27600 	37500 	35113 	40891 	42707 	46077 	47492 	51877 	59458 	59803 	65204 	69696 	72935 	75820 	78285 	77441 	74540 	80718 	84346 	84646 	82305 
